what,kind,bundleId,bundleVersion,description,time
error,log,,,"palette: Failed to parse file C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\drawable\\numberpicker_input.xml",1350816171208
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816171211
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816171213
error,log,,,"palette: Failed to parse file C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\drawable\\numberpicker_down_btn.xml",1350816171217
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816171221
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\secondary_text_dark.xml",1350816171229
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light_nodisable.xml",1350816171246
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816171251
error,log,,,"palette: Failed to parse file C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\drawable\\numberpicker_up_btn.xml",1350816171267
error,log,,,"palette: Failed to parse file C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\drawable\\numberpicker_input.xml",1350816171271
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816171273
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816171276
error,log,,,"palette: Failed to parse file C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\drawable\\numberpicker_down_btn.xml",1350816171279
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816171284
error,log,,,"palette: Failed to parse file C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\drawable\\numberpicker_up_btn.xml",1350816171287
error,log,,,"palette: Failed to parse file C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\drawable\\numberpicker_input.xml",1350816171290
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816171293
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816171295
error,log,,,"palette: Failed to parse file C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\drawable\\numberpicker_down_btn.xml",1350816171298
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816171302
error,log,,,"palette: Failed to parse file C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\drawable\\numberpicker_up_btn.xml",1350816171305
error,log,,,"palette: Failed to parse file C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\drawable\\numberpicker_input.xml",1350816171308
